DUMMY,taxon_order,category,species_code,primary_com_name,sci_name
,9917,species,nupkin1,Numfor Paradise-Kingfisher,Tanysiptera carolinae
,9918,species,rbpkin1,Red-breasted Paradise-Kingfisher,Tanysiptera nympha
,9919,species,bhpkin1,Brown-headed Paradise-Kingfisher,Tanysiptera danae
,9920,species,bubpak1,Buff-breasted Paradise-Kingfisher,Tanysiptera sylvia
,9923,species,bubpak2,Black-capped Paradise-Kingfisher,Tanysiptera nigriceps
,9926,species,giakin3,Giant Kingfisher,Megaceryle maxima
,9929,species,crekin1,Crested Kingfisher,Megaceryle lugubris
,9934,species,rinkin1,Ringed Kingfisher,Megaceryle torquata
,9935,issf,rinkin3,Ringed Kingfisher (Northern),Megaceryle torquata torquata/stictipennis
,9938,issf,rinkin4,Ringed Kingfisher (Patagonian),Megaceryle torquata stellata
,9939,species,belkin1,Belted Kingfisher,Megaceryle alcyon
,9940,species,piekin1,Pied Kingfisher,Ceryle rudis
,9945,species,amakin1,Amazon Kingfisher,Chloroceryle amazona
,9946,species,ampkin1,American Pygmy Kingfisher,Chloroceryle aenea
,9949,species,grnkin,Green Kingfisher,Chloroceryle americana
,9955,species,garkin1,Green-and-rufous Kingfisher,Chloroceryle inda
,9958,spuh,chloro3,Chloroceryle sp.,Chloroceryle sp.
,9959,spuh,kingfi1,kingfisher sp.,Alcedinidae sp.
,9961,species,rbbeat1,Red-bearded Bee-eater,Nyctyornis amictus
,9962,species,bbbeat1,Blue-bearded Bee-eater,Nyctyornis athertoni
,9965,species,pbbeat1,Purple-bearded Bee-eater,Meropogon forsteni
,9966,species,blbeat1,Black Bee-eater,Merops gularis
,9969,species,bumbee1,Blue-moustached Bee-eater,Merops mentalis
,9970,species,bhbeat2,Blue-headed Bee-eater,Merops muelleri
,9971,species,rtbeat1,Red-throated Bee-eater,Merops bulocki
,9974,species,wfbeat1,White-fronted Bee-eater,Merops bullockoides
,9977,species,libeat1,Little Bee-eater,Merops pusillus
,9983,species,bbbeat2,Blue-breasted Bee-eater,Merops variegatus
,9987,species,bubbee2,Ethiopian Bee-eater,Merops lafresnayii
,9988,species,ccbeat1,Cinnamon-chested Bee-eater,Merops oreobates
,9989,species,stbeat1,Swallow-tailed Bee-eater,Merops hirundineus
,9994,species,bhbeat1,Black-headed Bee-eater,Merops breweri
,9995,species,sobeat1,Somali Bee-eater,Merops revoilii
,9996,species,wtbeat1,White-throated Bee-eater,Merops albicollis
,9997,species,grnbee1,African Green Bee-eater,Merops viridissimus
,10001,species,grnbee2,Arabian Green Bee-eater,Merops cyanophrys
,10004,species,grnbee3,Asian Green Bee-eater,Merops orientalis
,10009,slash,y01188,Arabian/Asian Green Bee-eater,Merops cyanophrys/orientalis
,10010,species,bobeat1,Böhm's Bee-eater,Merops boehmi
,10011,species,btbeat2,Blue-throated Bee-eater,Merops viridis
,10012,species,rucbee1,Rufous-crowned Bee-eater,Merops americanus
,10013,species,bcbeat1,Blue-cheeked Bee-eater,Merops persicus
,10016,species,mabeat1,Madagascar Bee-eater,Merops superciliosus
,10019,species,btbeat1,Blue-tailed Bee-eater,Merops philippinus
,10020,slash,y00734,Blue-cheeked/Blue-tailed Bee-eater,Merops persicus/philippinus
,10021,species,rabeat1,Rainbow Bee-eater,Merops ornatus
,10022,species,eubeat1,European Bee-eater,Merops apiaster
,10023,species,chbeat1,Chestnut-headed Bee-eater,Merops leschenaulti
,10027,species,robeat1,Rosy Bee-eater,Merops malimbicus
,10028,species,ncbeat1,Northern Carmine Bee-eater,Merops nubicus
,10029,species,scbeat1,Southern Carmine Bee-eater,Merops nubicoides
,10030,spuh,beeeat1,bee-eater sp.,Merops sp.
,10032,species,eurrol1,European Roller,Coracias garrulus
,10035,species,abyrol2,Abyssinian Roller,Coracias abyssinicus
,10036,species,librol2,Lilac-breasted Roller,Coracias caudatus
,10037,issf,librol1,Lilac-breasted Roller (Blue-breasted),Coracias caudatus lorti
,10038,issf,librol3,Lilac-breasted Roller (Lilac-breasted),Coracias caudatus caudatus
,10039,species,ratrol2,Racket-tailed Roller,Coracias spatulatus
,10040,species,rucrol2,Rufous-crowned Roller,Coracias naevius
,10043,species,indrol2,Indian Roller,Coracias benghalensis
,10046,slash,y01079,European/Indian Roller,Coracias garrulus/benghalensis
,10047,species,indrol3,Indochinese Roller,Coracias affinis
,10048,hybrid,indrol4,Indian x Indochinese Roller (hybrid),Coracias benghalensis x affinis
